"ID","DEFINITION","FORMATION_PROCESS","CLAY","SILT","SAND","SOIL_COMPACTION","SOIL_COLOR","CERAMICS_OBSERVATIONS"
111,"Layer of sandy silt and rocks in SU100","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
112,"Pottery located southwest of hut","Intentional Deposition",0.0,0.0,0.0,"","",""
113,"Layer of stones and debris","Accumulation",0.0,0.0,0.0,"","",""
114,"Circular cut filled by SU113","Cutting",0.0,0.0,0.0,"","",""
115,"Layer of silty sand with rocky inclusions in SU127","Accumulation",0.0,60.0,40.0,"Compact","Light Brown",""
116,"Layer of silt and pieces of tufo","Accumulation",0.0,0.0,0.0,"Compact","Brown",""
117,"Cut for olla SU112","Cutting",0.0,0.0,0.0,"","",""
118,"Cut filled by SU119 (hut) and SU109","Cutting",0.0,0.0,0.0,"","",""
119,"Layer of reddish silt filling SU118","Accumulation",0.0,100.0,0.0,"Compact","Red",""
120,"Layer of silt and gravel","Accumulation",20.0,70.0,10.0,"Hard","",""
121,"Layer of very compact fill in the 'hut'","Accumulation",0.0,60.0,40.0,"Friable","Light Brown",""
122,"Layer of silt and rocks","Accumulation",0.0,80.0,20.0,"Friable","Other_2",""
123,"Layer of silt and rocks","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
124,"Layer of silt and gravel","",0.0,80.0,20.0,"Loose","Black",""
125,"Layer of sandy silt in cut east of cut SU20","Accumulation",0.0,40.0,60.0,"Friable","Light Brown",""
126,"Human skeleton in SU127","Intentional Deposition",0.0,0.0,0.0,"","",""
127,"Rectangular cut in tufo","Cutting",0.0,0.0,0.0,"","",""
128,"Rectangular cut filled by SU124","Cutting",0.0,0.0,0.0,"","",""
129,"Layer of black silty sand in the west part of Area A","Accumulation",0.0,80.0,20.0,"Compact","Black",""
130,"Layer of silty sand in cut SU131","Accumulation",0.0,40.0,60.0,"Compact","Light Brown",""
131,"Oval cut in tufo north of cut SU4","Cutting",0.0,0.0,0.0,"","",""
132,"Layer of clayey silt in cut SU133","Accumulation",30.0,70.0,0.0,"Compact","Brown",""
133,"Ovoid cut in tufo south of cut SU71","Cutting",0.0,0.0,0.0,"","",""
134,"Layer of sandy silt south of SU4 cut","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
135,"Layer of sandy-silt in cut SU136","Accumulation",0.0,80.0,20.0,"Compact","Light Brown",""
136,"Circular cut in tufo cut by NW corner of cut SU100","Cutting",0.0,0.0,0.0,"","",""
137,"Layer of sandy silt in cut SU138","Accumulation",30.0,70.0,0.0,"Compact","Brown",""
138,"Circular cut in tufo southeast of cut SU4","Cutting",0.0,0.0,0.0,"","",""
139,"Cut in SU140 and SU141","Cutting",0.0,0.0,0.0,"","",""
140,"Layer of light brown silty sand in west part of Area A, south of cut SU139","Accumulation",0.0,60.0,40.0,"Hard","Light Brown",""
141,"Layer of light brown silty sand north of cut SU139","Accumulation",0.0,60.0,40.0,"Compact","Light Brown",""
142,"Layer of clayey sandy silt in cut SU143","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
143,"Circular cut in tufo east of cut SU73","Cutting",0.0,0.0,0.0,"","",""
144,"Layer of sandy silt extending north to south beneath SU134","Accumulation",0.0,60.0,40.0,"Friable","Light Brown",""
145,"Layer of rocks and clayey sandy silt in cut SU143","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
146,"Oval cut in tufo southwest of cut SU143","Cutting",0.0,0.0,0.0,"","",""
147,"Layer of sandy silt in cut SU146","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
148,"Layer of sandy silt in cut SU149","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
149,"Circular cut in tufo south of cut SU133","Cutting",0.0,0.0,0.0,"","",""
150,"Layer of sandy silt in cut SU151","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
151,"Square cut in tufo north of cut SU133.","Cutting",0.0,0.0,0.0,"","",""
152,"Layer of sandy silt in SU153 cut","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
153,"Circular cut in tufo west of cut SU73","Cutting",0.0,0.0,0.0,"","",""
154,"Oval cut in tufo north of cut SU146","Cutting",0.0,0.0,0.0,"","",""
155,"Layer of sandy silt in cut SU154.","Accumulation",10.0,15.0,75.0,"Compact","Brown",""
156,"Circular cut in tufo south of cut SU133","Cutting",0.0,0.0,0.0,"","",""
157,"Layer of sandy silt in cut SU156","Accumulation",15.0,25.0,10.0,"Compact","Brown",""
158,"Semi-circular cut in tufo north of cut SU154","Cutting",0.0,0.0,0.0,"","",""
159,"Layer of sandy silt in cut SU158","Accumulation",0.0,80.0,20.0,"Hard","Brown",""
160,"Cluster of rocks partly under western wall (SU51)","Collapse",0.0,0.0,0.0,"Hard","Gray",""
161,"Cluster of rocks running along middle of road.","Collapse",0.0,0.0,0.0,"Hard","Gray",""
162,"Cluster of rocks along east side of SU51","Collapse",0.0,0.0,0.0,"Hard","Gray",""
163,"Circular cut in tufo southwest of cut SU133.","Cutting",0.0,0.0,0.0,"","",""
164,"Layer of clayey sandy silt in cut SU163, SU181, SU182","Accumulation",10.0,70.0,20.0,"Compact","Brown",""
165,"Layer of stones and sandy silt in cut SU154.","Intentional Deposition",30.0,10.0,60.0,"Compact","Light Brown",""
166,"Layer of sandy silt in cut SU167.","Accumulation",0.0,60.0,40.0,"Compact","Light Brown",""
167,"Cut in the tufo filled by SU166","Cutting",0.0,0.0,0.0,"","",""
168,"Layer of sandy silt in southeast portion of cut SU163","Accumulation",10.0,75.0,15.0,"Hard","Brown",""
169,"Layer of sandy, clayey silt in southwest portion of cut SU182","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
170,"Layer of clayish silt on road (under SU51)","Accumulation",35.0,65.0,0.0,"Friable","Light Brown",""
171,"Layer of sandy clayey silt in cut SU181","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
172,"Layer of sandy silt below SU171","Accumulation",0.0,90.0,10.0,"Compact","Brown",""
173,"Layer of rocks in cut SU181","Accumulation",0.0,0.0,0.0,"","Gray",""
174,"Ceramic bowl in SU172","Intentional Deposition",0.0,0.0,0.0,"","",""
175,"Corinthian aryballos in burial","Intentional Deposition",0.0,0.0,0.0,"","",""
176,"Handled vessel in situ in burial","Intentional Deposition",0.0,0.0,0.0,"","",""
177,"4 vessels in sediment to east side of burial","Intentional Deposition",20.0,70.0,10.0,"Loose","Brown",""
179,"3 rocks in eastern limit of burial in cut SU181","Intentional Deposition",0.0,0.0,0.0,"","Gray",""
181,"Rectangular cut in tufo used as a grave","Cutting",0.0,0.0,0.0,"","",""
182,"Circular cut in tufo that cuts cut SU181","Cutting",0.0,0.0,0.0,"","",""
183,"Layer of sandy silt in cut SU184","Accumulation",0.0,40.0,60.0,"Compact","Light Brown",""
184,"Rectangular cut in tufo","Cutting",0.0,0.0,0.0,"","",""
185,"Layer of brown sandy silt in cut SU186","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
186,"Circular cut in tufo west of cut SU184","Cutting",0.0,0.0,0.0,"","",""
187,"Layer of clayey silt in cut SU188","Accumulation",20.0,80.0,0.0,"Loose","Brown",""
188,"Semi-circular cut in tufo east of cut SU133.","Cutting",0.0,0.0,0.0,"","",""
189,"Circular cut in tufo south of cut SU188","Cutting",0.0,0.0,0.0,"","",""
190,"Layer of sandy silt in cut SU189","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
191,"Circular cut in tufo north of cut SU188.","Cutting",0.0,0.0,0.0,"","",""
192,"Layer of sandy, clayey silt in cut SU191.","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
193,"Square cut in tufo east of cut SU18","Cutting",0.0,0.0,0.0,"","",""
194,"Layer of sandy clay in cut SU193","Accumulation",25.0,0.0,75.0,"Compact","Brown",""
195,"Layer of silty sand in SU184","Accumulation",0.0,40.0,60.0,"Compact","Light Brown",""
196,"Circular cut in tufo south of cut SU184","Cutting",0.0,0.0,0.0,"","",""
197,"Layer of sandy silt in cut SU196","Accumulation",0.0,80.0,20.0,"Friable","Light Brown",""
198,"Circular cut in tufo south of cut SU184","Cutting",0.0,0.0,0.0,"","",""
199,"Layer of sandy silt in cut SU198","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
200,"Oval cut in tufo south of cut SU198","Cutting",0.0,0.0,0.0,"","",""
201,"Layer of clayey silt in cut SU200","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
202,"Layer of sandy silt in cut SU203","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
203,"Circular cut in tufo west of cut SU186","Cutting",0.0,0.0,0.0,"","",""
204,"Layer of sandy silt beneath SU144","Accumulation",0.0,70.0,30.0,"Friable","Light Brown",""
205,"Square cut in tufo north of cut SU193","Cutting",0.0,0.0,0.0,"","",""
206,"Layer of sandy silt in cut SU205","Accumulation",0.0,80.0,20.0,"Hard","Brown",""
207,"Triangular cut in tufo southeast of cut SU205","Cutting",0.0,0.0,0.0,"","",""
208,"Layer of sandy silt in cut SU207","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
209,"Circular cut in tufo north of cut SU207","Cutting",0.0,0.0,0.0,"","",""
210,"Layer of sandy silt in cut SU209","Accumulation",0.0,85.0,15.0,"Hard","Brown",""
211,"Layer of sandy silt in cut SU215","Accumulation",0.0,60.0,40.0,"Compact","Light Brown",""
212,"Circular cut in tufo south of cut SU100","Cutting",0.0,0.0,0.0,"","",""
213,"Layer of clayey sandy silt","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
214,"Layer of sandy silt beneath SU204","Accumulation",0.0,90.0,10.0,"Friable","Brown",""
215,"Rectangular cut in tufo south of cut SU186","Cutting",0.0,0.0,0.0,"","",""
216,"Rectangular cut in tufo west of cut SU156","Cutting",0.0,0.0,0.0,"","",""
217,"Circular cut in tufo","Cutting",0.0,0.0,0.0,"","",""
218,"Layer of sandy silt in cut SU217","Accumulation",0.0,70.0,30.0,"Compact","Brown",""
219,"Circular cut in tufo south of hut","Cutting",0.0,0.0,0.0,"","",""
220,"Layer of sandy silt in cut SU219","Accumulation",0.0,65.0,35.0,"Compact","Light Brown",""
221,"Cut in tufo east of hut","Cutting",0.0,0.0,0.0,"","",""
222,"Layer of sandy silt in cut SU221","Accumulation",0.0,65.0,35.0,"Compact","Light Brown",""
223,"Elongated rectangular cut south of cut SU216","Cutting",0.0,0.0,0.0,"","",""
224,"Layer of sandy silt in cut SU223","Accumulation",0.0,80.0,20.0,"Loose","Brown",""
225,"Circular cut in tufo southwest of SU216","Cutting",0.0,0.0,0.0,"","",""
226,"Layer of sandy silt in cut SU225","Accumulation",0.0,90.0,10.0,"Loose","Brown",""
227,"Circular cut in tufo south of cut SU221","Cutting",0.0,0.0,0.0,"","",""
228,"Layer of sandy silt in cut SU228","Accumulation",0.0,90.0,10.0,"Compact","Brown",""
229,"Circular cut in tufo east of cut SU227","Cutting",0.0,0.0,0.0,"","",""
230,"Layer of sandy silt in cut SU229","Accumulation",0.0,70.0,30.0,"Compact","Light Brown",""
231,"Circular cut in tufo east of cut SU227","Cutting",0.0,0.0,0.0,"","",""
232,"Layer of sandy silt in cut SU231","Accumulation",0.0,85.0,15.0,"Friable","Brown",""
233,"Circular cut in tufo south of cut SU219","Cutting",0.0,0.0,0.0,"","",""
234,"Layer of sandy silt in cut SU233","Accumulation",0.0,85.0,15.0,"Compact","Light Brown",""
235,"Circular cut in tufo south of cut SU233","Cutting",0.0,0.0,0.0,"","",""
236,"Layer of sandy silt in cut SU235","Accumulation",0.0,90.0,10.0,"Loose","Light Brown",""
237,"Circular cut in tufo west of cut SU235","Cutting",0.0,0.0,0.0,"","",""
238,"Layer of sandy silt in cut SU237","Accumulation",0.0,85.0,15.0,"Compact","Brown",""
239,"Circular cut in tufo west of cut SU237","Cutting",0.0,0.0,0.0,"","",""
240,"Layer of sandy silt in cut SU239","Accumulation",0.0,85.0,15.0,"Compact","Light Brown",""
241,"Circular cut in tufo west of cut SU239.","Cutting",0.0,0.0,0.0,"","",""
242,"Layer of sandy silt in cut SU241","Accumulation",0.0,85.0,15.0,"Friable","Brown",""
243,"Layer of silty sand and quarried debris","Accumulation",0.0,60.0,40.0,"Compact","Light Brown",""
244,"Layer of sandy silt in cut SU245","Accumulation",0.0,85.0,15.0,"Friable","Brown",""
245,"Circular cut in the tufo west of cut SU241","Cutting",0.0,0.0,0.0,"","",""
246,"Layer of sandy silt in cut SU247","Accumulation",0.0,85.0,15.0,"Compact","Brown",""
247,"Circular cut in tufo west of cut SU245","Cutting",0.0,0.0,0.0,"","",""
248,"Layer of sandy silt in cut SU249","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
249,"Circular cut in tufo cut by cut SU237","Cutting",0.0,0.0,0.0,"","",""
250,"Layer of sandy silt in cut SU251","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
251,"Cut in tufo west of cut SU247","Cutting",0.0,0.0,0.0,"","",""
252,"Layer of clayish silt  on road surface","Collapse",35.0,65.0,0.0,"Hard","Light Gray",""
253,"Circular cut in tufo north of cut SU247","Cutting",0.0,0.0,0.0,"","",""
254,"Layer of sandy clayey silt in cut SU253","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
255,"Circular cut in tufo north of cut SU251","Cutting",0.0,0.0,0.0,"","",""
256,"Layer of sandy silt in cut SU255","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
257,"Circular cut in tufo east of cut SU255","Cutting",0.0,0.0,0.0,"","",""
258,"Layer of clayey sandy silt in cut SU257","Accumulation",20.0,70.0,10.0,"Compact","Brown",""
259,"Rectangular cut in tufo east of cut SU257","Cutting",0.0,0.0,0.0,"","",""
260,"Layer of clayey sandy silt in cut SU259","Accumulation",10.0,80.0,10.0,"Compact","Brown",""
261,"Circular cut in tufo east of cut SU259","Cutting",0.0,0.0,0.0,"","",""
262,"Layer of sandy silt in cut SU261","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
263,"Circular cut in tufo west of cut SU237","Cutting",0.0,0.0,0.0,"","",""
264,"Layer of silky sand in cut SU263","Accumulation",0.0,20.0,80.0,"Loose","Light Brown",""
265,"Layer of sandy clayey silt in cut SU253 under SU254","Intentional Deposition",20.0,70.0,10.0,"Compact","Brown",""
266,"Layer of sandy silt in cut SU267","Accumulation",0.0,85.0,15.0,"Friable","Light Brown",""
267,"Rectangular cut in tufo north of cut SU257","Erosion",0.0,0.0,0.0,"","",""
268,"Layer of sandy silt in cut SU269","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
269,"Circular cut in tufo","Cutting",0.0,0.0,0.0,"","",""
270,"Layer of sandy silt in cut SU271","Accumulation",0.0,80.0,20.0,"Friable","Brown",""
271,"Circular cut of tufo east of cut SU261","Cutting",0.0,0.0,0.0,"","",""
272,"Layer of sandy silt in cut SU 273","Accumulation",0.0,70.0,30.0,"Loose","Brown",""
273,"Circular cut in tufo west of hut","Cutting",0.0,0.0,0.0,"","",""
274,"Layer of sandy silt in cut SU275","Accumulation",0.0,10.0,90.0,"Loose","Light Brown",""
275,"Circular cut in tufo, north of hut","Cutting",0.0,0.0,0.0,"","",""
276,"Layer of sandy silt in cut SU277","Accumulation",0.0,60.0,40.0,"Loose","Light Brown",""
277,"Circular cut in tufo, west of cut SU275","Cutting",0.0,0.0,0.0,"","",""
278,"Layer of silty clay in cut SU279","Accumulation",20.0,80.0,0.0,"Loose","Brown",""
279,"Circular cut in tufo west of cut SU277","Cutting",0.0,0.0,0.0,"","",""
280,"Layer of sandy silt","Accumulation",0.0,60.0,40.0,"Friable","Light Brown",""
281,"Rectangular cut in tufo south of hut","Cutting",0.0,0.0,0.0,"","",""
282,"Layer of sandy silt in cut SU281","Accumulation",0.0,20.0,80.0,"Compact","Brown",""
283,"Circular cut in tufo south of cut SU285","Cutting",0.0,0.0,0.0,"","",""
284,"Layer of clayey sandy silt in cut SU283","Accumulation",10.0,70.0,20.0,"Compact","Light Brown",""
285,"Circular cut in tufo north of cut SU283","Cutting",0.0,0.0,0.0,"","",""
286,"Layer of clayey sandy silt in cut SU285","Accumulation",10.0,70.0,20.0,"Friable","Light Brown",""
287,"Circular cut in tufo, south of cut SU283","Cutting",0.0,0.0,0.0,"","",""
288,"Layer of clayey sandy silt in cut SU287","Accumulation",10.0,70.0,20.0,"Compact","Brown",""
289,"Circular cut in tufo south of hut","Cutting",0.0,0.0,0.0,"","",""
290,"Layer of clayey silt in cut SU289","Accumulation",20.0,80.0,0.0,"Compact","Brown",""
291,"Layer of paved road between walls","Construction",0.0,0.0,0.0,"Hard","Light Gray",""
292,"Section of west wall abuttting SU291","Construction",0.0,0.0,0.0,"","",""
293,"Section of east wall abutting SU291","Construction",0.0,0.0,0.0,"","",""
294,"Layer of sandy silt in cut SU295","Accumulation",0.0,70.0,30.0,"Loose","Brown",""
295,"Circular cut in tufo south of hut","Cutting",0.0,0.0,0.0,"","",""
296,"Layer of sandy silt in cut SU297","Accumulation",0.0,0.0,0.0,"","",""
297,"Circular cut in tufo west of cut SU285","Cutting",0.0,0.0,0.0,"","",""
298,"Layer of sandy silt in cut SU299","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
299,"Circular cut in tufo south of cut SU297","Cutting",0.0,0.0,0.0,"","",""
300,"Rectangular cut in tufo southwest of hut","Cutting",0.0,0.0,0.0,"","",""
301,"Rectangular cut in tufo south of cut SU300","Cutting",0.0,0.0,0.0,"","",""
302,"Layer of sandy silt in cut SU303","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
303,"Oval cut in tufo, east of cut SU300","Cutting",0.0,0.0,0.0,"","",""
304,"Layer of sandy silt in cut SU305","Accumulation",0.0,80.0,20.0,"Compact","Brown",""
305,"Oval cut in tufo south of cut SU303","Cutting",0.0,0.0,0.0,"","",""
