SU_ID,CERAMICS_CLASS,CERAMICS_DETAILS,VESSELS,RIMS,HANDLES,BASES,WALLS,TOTAL,WEIGHT,SIZE_MIN,SIZE_MAX,SD_START,SD_START_SUFFIX,SD_END,SD_END_SUFFIX,
2258,Terra Sigillata,NULL,NULL,NULL,NULL,2,5,7,NULL,NULL,NULL,1,AD,100,AD,
2243,African Red Slip,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,1,AD,500,AD,
2243,African Cookware,NULL,NULL,4,NULL,3,19,26,NULL,NULL,NULL,1,AD,500,AD,
2223,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,AD,500,AD,
2279,African Red Slip,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,AD,500,AD,
2279,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,AD,500,AD,
2237,African Red Slip,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,AD,500,AD,
2107,African Cookware,NULL,NULL,1,NULL,NULL,4,5,NULL,NULL,NULL,1,AD,500,AD,
1134,Commonware,NULL,NULL,3,NULL,NULL,12,15,NULL,NULL,NULL,1,AD,150,AD,
1138,African Cookware,NULL,NULL,NULL,NULL,NULL,2,2,0.008,3,NULL,1,AD,500,AD,
2435,Commonware,NULL,NULL,9,NULL,NULL,34,43,0.624,2,11,1,AD,100,AD,
562,Commonware,NULL,0,1,0,0,5,6,0.072,2,8,1,AD,100,AD,
5065,Terra Sigillata,NULL,NULL,8,NULL,2,35,45,0.288,2,8,1,AD,38,AD,
5065,Commonware,NULL,NULL,16,2,2,45,65,1.11,2,9,1,AD,200,AD,
5004,African Cookware,NULL,NULL,8,NULL,NULL,15,23,0.304,2,9,1,AD,500,AD,
5052,African Cookware,NULL,NULL,6,NULL,NULL,27,33,0.492,2,8,1,AD,500,AD,
5027,African Cookware,NULL,NULL,2,NULL,2,5,9,0.082,3,6,1,AD,500,AD,
5068,African Cookware,NULL,NULL,4,NULL,NULL,7,11,0.172,3,10,1,AD,500,AD,
5068,Thin Walled,NULL,NULL,1,NULL,NULL,2,3,0.012,2,4,1,AD,100,AD,
5012,African Cookware,NULL,NULL,2,NULL,1,NULL,3,0.04,NULL,5,1,AD,500,AD,
5090,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,0.014,NULL,4,1,AD,500,AD,
5048,African Red Slip,NULL,NULL,NULL,NULL,NULL,1,1,0.002,NULL,2,1,AD,500,AD,
5075,African Red Slip,NULL,NULL,NULL,NULL,NULL,2,2,0.042,3,6,1,AD,500,AD,
5075,African Cookware,NULL,NULL,6,NULL,3,3,12,0.172,3,7,1,AD,500,AD,
5016,African Cookware,NULL,NULL,7,1,2,5,15,0.324,2,10,1,AD,500,AD,
5019,African Cookware,NULL,NULL,2,NULL,NULL,2,4,0.036,3,5,1,AD,500,AD,
5025,African Cookware,NULL,NULL,NULL,NULL,NULL,4,4,0.038,3,5,1,AD,500,AD,
5025,Commonware,NULL,NULL,119,14,20,217,370,6.323,2,10,1,AD,200,AD,
5025,Commonware,NULL,NULL,119,14,20,217,370,6.323,2,10,1,AD,125,AD,
5050,African Cookware,NULL,NULL,NULL,NULL,NULL,4,4,0.018,NULL,NULL,1,AD,500,AD,
5094,Amphora,NULL,NULL,2,2,1,75,80,8.6,3,11,1,AD,220,AD,
5110,Commonware,NULL,NULL,127,37,26,591,781,11.317,1,11,1,AD,200,AD,
5110,Commonware,NULL,NULL,127,37,26,591,781,11.317,1,11,1,AD,200,AD,
5076,Terra Sigillata,NULL,NULL,14,NULL,10,56,80,0.41,NULL,NULL,1,AD,50,AD,
5076,Terra Sigillata,NULL,NULL,14,NULL,10,56,80,0.41,NULL,NULL,1,AD,50,AD,
5091,Terra Sigillata,NULL,NULL,17,NULL,3,46,66,0.308,2,8,1,AD,60,AD,
5124,Commonware,NULL,NULL,13,4,9,58,84,1.71,NULL,NULL,1,AD,200,AD,
5124,African Cookware,NULL,NULL,1,NULL,NULL,2,3,0.036,NULL,NULL,1,AD,500,AD,
5110,Amphora,NULL,NULL,44,50,20,1611,1726,117.209,1,11,1,AD,300,AD,
5097,Commonware,NULL,NULL,1,NULL,NULL,1,2,0.246,NULL,11,1,AD,150,AD,
5091,Terra Sigillata,NULL,NULL,17,NULL,3,46,66,0.308,2,8,1,AD,50,AD,
5091,Terra Sigillata,NULL,NULL,17,NULL,3,46,66,0.308,2,8,1,AD,25,AD,
5301,Terra Sigillata,NULL,NULL,35,NULL,4,41,77,0.356,2,6,1,BC,37,AD,
5094,Amphora,NULL,NULL,2,2,1,75,80,8.6,3,11,1,AD,220,AD,
5317,Terra Sigillata,NULL,NULL,5,NULL,2,11,18,0.114,2,10,1,AD,100,AD,
5107,Amphora,NULL,NULL,12,3,1,144,160,11.063,2,11,1,AD,200,AD,
5048,Amphora,NULL,NULL,36,34,4,377,451,23.965,3,10,1,AD,190,AD,
5161,Commonware,NULL,NULL,33,4,4,16,57,1.375,2,10,1,AD,150,AD,
5517,Commonware,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,1,AD,100,AD,
5538,Commonware,NULL,NULL,60,16,10,153,229,5.484,3,11,1,AD,14,AD,
5538,Commonware,NULL,NULL,60,16,10,153,229,5.484,3,11,1,AD,200,AD,
5538,African Cookware,NULL,NULL,3,NULL,NULL,NULL,3,0.074,9,9,1,AD,50,AD,
5541,Commonware,NULL,NULL,219,18,40,908,1185,14.742,2,11,1,AD,200,AD,
3507,Commonware,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,1,AD,100,AD,
5572,Commonware,NULL,NULL,147,21,19,13,192,6.108,2,11,1,AD,150,AD,
5572,Commonware,NULL,NULL,147,21,19,13,192,6.108,2,11,1,AD,100,AD,
5572,Amphora,NULL,NULL,30,44,17,17,108,23.08,4,11,1,AD,200,AD,
5598,Creamware,NULL,3,43,19,21,34,117,3.79,3,11,1,AD,100,AD,
5793,Commonware,NULL,NULL,9,5,1,1,16,0.278,2,7,1,AD,50,AD,
5853,African Cookware,"Only small fragments of bases remain, not useful for spot dating with comparanda.",NULL,NULL,NULL,2,2,4,0.014,2,3,1,AD,500,AD,
5853,Amphora,"Few diagnostics, some sherds covered in heavy accretions.",NULL,2,2,NULL,83,87,4.49,2,11,1,AD,300,AD,
5807,Thin Walled,NULL,NULL,1,1,NULL,1,3,0.006,2,3,1,AD,193,AD,
5856,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,0.004,3,3,1,AD,500,AD,
5868,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,0.004,3,3,1,AD,500,AD,
5857,African Cookware,NULL,NULL,NULL,NULL,NULL,2,2,0.008,1,3,1,AD,500,AD,
5477,African Cookware,NULL,NULL,NULL,1,NULL,1,2,0.068,5,5,1,AD,200,AD,
2427,Amphora,NULL,NULL,1,NULL,1,1,3,0.146,5,6,1,AD,200,AD,
5867,Amphora,"SU includes large creamware basins or storage vessels, making it difficult to differentiate between amphora walls and creamware walls. SU includes three fully preserved amphora rims, with partial (one complete) handles attached. ",NULL,10,15,2,116,143,2.16,3,11,1,AD,299,AD,
7032,Commonware,"one rim fragment of olla with internal/external burnishing characteristic of republican pottery, the rest much later forms",NULL,16,NULL,3,58,77,1.168,1,10,1,AD,150,AD,
5314,Thin Walled,NULL,NULL,34,32,30,37,133,0.634,2,11,1,AD,99,AD,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,1,AD,14,AD,
5076,Terra Sigillata,NULL,NULL,14,NULL,10,56,80,0.41,NULL,NULL,1,AD,14,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6010,African Red Slip,NULL,NULL,NULL,NULL,NULL,3,3,0.008,2,3,1,AD,500,AD,
6047,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,0.004,4,4,1,AD,500,AD,
7124,African Red Slip,NULL,NULL,NULL,NULL,2,2,4,0.115,4,9,1,AD,700,AD,
7076,Terra Sigillata,NULL,NULL,6,NULL,4,17,27,0.137,2,10,1,AD,14,AD,
6008,African Cookware,NULL,NULL,1,NULL,NULL,1,2,0.008,1,4,2,AD,3,AD,
6008,African Cookware,NULL,NULL,1,NULL,NULL,2,NULL,0.034,3,6,2,AD,3,AD,
5541,Terra Sigillata,NULL,NULL,7,NULL,3,7,17,0.103,2,11,5,BC,3,AD,
8189,Terra Sigillata,surface of wall sherd is notably irregular,NULL,1,NULL,NULL,1,2,0.006,3,3,5,BC,14,AD,
5066,Terra Sigillata,NULL,NULL,1,NULL,1,3,5,0.028,1,7,7,AD,14,AD,
2060,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,10,BC,3,AD,
1117,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,0.003,NULL,3,10,BC,60,AD,
2237,Amphora,NULL,NULL,12,6,12,301,331,NULL,NULL,NULL,10,AD,150,AD,
1280,Terra Sigillata,NULL,NULL,2,NULL,NULL,2,4,NULL,NULL,NULL,10,BC,125,BC,
5076,Terra Sigillata,NULL,NULL,14,NULL,10,56,80,0.41,NULL,NULL,10,BC,41,AD,
5312,Terra Sigillata,NULL,NULL,8,NULL,1,25,34,0.446,2,11,10,BC,100,AD,
5572,Thin Walled,NULL,NULL,37,11,26,48,122,0.664,2,10,10,AD,15,AD,
5314,Amphora,NULL,NULL,28,91,16,34,169,31.47,3,11,10,AD,150,AD,
7199,Terra Sigillata,base later special found as possible gamepiece,NULL,2,NULL,1,1,4,0.335,4,6,10,BC,10,AD,
7235,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,0.004,3,3,10,BC,15,AD,
7226,Terra Sigillata,NULL,NULL,2,NULL,NULL,17,19,0.044,2,4,10,BC,14,AD,
405,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,12,BC,8,BC,
5076,Terra Sigillata,NULL,NULL,14,NULL,10,56,80,0.41,NULL,NULL,12,AD,40,AD,
5091,Terra Sigillata,NULL,NULL,17,NULL,3,46,66,0.308,2,8,12,BC,40,AD,
5301,Terra Sigillata,NULL,NULL,35,NULL,4,41,77,0.356,2,6,12,BC,14,AD,
5538,Internal Red Slip Ware,NULL,NULL,1,NULL,NULL,2,3,0.098,5,11,12,BC,8,BC,
1368,Terra Sigillata,NULL,NULL,36,NULL,9,87,132,0.574,2,8,14,AD,100,AD,
1368,Terra Sigillata,NULL,NULL,36,NULL,9,87,132,0.574,2,8,14,AD,117,AD,
3109,Terra Sigillata,NULL,NULL,6,NULL,3,NULL,9,0.108,2,9,14,AD,37,AD,
1353,Terra Sigillata,NULL,NULL,1,NULL,NULL,NULL,1,0.004,NULL,3,14,AD,100,AD,
1168,Thin Walled,NULL,NULL,5,NULL,4,18,27,NULL,NULL,NULL,14,AD,60,AD,
5048,Terra Sigillata,NULL,NULL,33,NULL,35,92,160,1.09,2,10,14,AD,100,AD,
5048,Terra Sigillata,NULL,NULL,33,NULL,35,92,160,1.09,2,10,14,AD,68,AD,
5048,Terra Sigillata,NULL,NULL,33,NULL,35,92,160,1.09,2,10,14,BC,14,AD,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,14,AD,25,AD,
5107,Amphora,NULL,NULL,12,3,1,144,160,11.063,2,11,14,AD,190,AD,
5048,Amphora,NULL,NULL,36,34,4,377,451,23.965,3,10,14,AD,190,AD,
5572,Amphora,NULL,NULL,30,44,17,17,108,23.08,4,11,14,AD,199,AD,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,14,AD,30,AD,
8014,Thin Walled,NULL,NULL,1,NULL,1,6,8,0.011,1,4,14,AD,37,AD,
8216,Terra Sigillata,Base sherd missing ring foot,NULL,1,NULL,1,NULL,2,0.016,3,5,14,AD,100,AD,
7170,Terra Sigillata,all sherds join,NULL,2,NULL,NULL,1,3,0.026,3,6,14,AD,100,AD,
1368,Terra Sigillata,NULL,NULL,36,NULL,9,87,132,0.574,2,8,15,BC,14,AD,
140,Terra Sigillata,NULL,NULL,1,NULL,NULL,3,4,NULL,NULL,NULL,15,BC,180,AD,
1146,Terra Sigillata,NULL,NULL,24,NULL,5,25,54,NULL,NULL,NULL,15,AD,125,AD,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,15,BC,1,AD,
5101,Terra Sigillata,NULL,NULL,4,NULL,2,6,12,0.25,3,11,15,BC,1,BC,
5110,Terra Sigillata,NULL,NULL,32,NULL,17,83,132,1.135,1,11,15,BC,1,BC,
5101,Terra Sigillata,NULL,NULL,4,NULL,2,6,12,0.25,3,11,15,BC,1,BC,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,15,BC,1,BC,
5019,Terra Sigillata,NULL,NULL,14,NULL,7,35,56,0.294,1,6,15,BC,14,AD,
5076,Amphora,NULL,NULL,8,12,1,196,217,11.755,NULL,NULL,15,BC,80,AD,
7113,Terra Sigillata,NULL,NULL,3,NULL,NULL,3,6,0.043,4,6,15,BC,15,AD,
7152,Terra Sigillata,NULL,NULL,3,NULL,2,13,18,0.08,2,6,15,BC,50,AD,
3042,African Red Slip,NULL,NULL,NULL,NULL,2,3,5,0.056,4,5,20,BC,300,AD,
140,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,20,BC,400,AD,
1137,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,20,BC,10,AD,
2171,Terra Sigillata,NULL,NULL,1,NULL,1,4,6,NULL,NULL,NULL,20,AD,125,AD,
2177,Terra Sigillata,NULL,NULL,3,NULL,1,6,10,NULL,NULL,NULL,20,AD,100,AD,
2177,African Red Slip,NULL,NULL,1,NULL,1,6,8,NULL,NULL,NULL,20,BC,800,AD,
1078,African Red Slip,NULL,NULL,NULL,NULL,NULL,1,1,0.001,1.5,1.5,20,BC,800,AD,
2258,African Red Slip,NULL,NULL,1,NULL,NULL,1,2,NULL,NULL,NULL,20,BC,800,AD,
2243,African Cookware,NULL,NULL,4,NULL,3,19,26,NULL,NULL,NULL,20,BC,800,AD,
2266,African Cookware,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,20,BC,800,AD,
1157,Terra Sigillata,NULL,NULL,12,NULL,1,17,30,NULL,NULL,NULL,20,BC,75,AD,
2382,Terra Sigillata,NULL,NULL,45,NULL,11,68,124,0.706,2,11,20,BC,30,AD,
2385,Terra Sigillata,NULL,NULL,2,NULL,NULL,5,7,0.06,2,8,20,BC,30,AD,
2389,Terra Sigillata,NULL,NULL,1,NULL,1,1,3,0.018,3,5,20,BC,14,AD,
2000,Black Gloss,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,AD,150,AD,
5004,African Red Slip,NULL,NULL,3,NULL,NULL,5,8,0.036,2,4,20,BC,500,AD,
5052,African Red Slip,NULL,NULL,1,NULL,NULL,1,2,0.01,2,4,20,BC,500,AD,
5027,African Red Slip,NULL,NULL,3,NULL,1,2,6,0.068,3,6,20,BC,300,AD,
5068,African Red Slip,NULL,NULL,NULL,NULL,NULL,2,2,0.008,1,2,20,BC,500,AD,
5092,Terra Sigillata,NULL,NULL,4,NULL,1,4,9,0.074,2,7,20,BC,14,AD,
5012,African Red Slip,NULL,NULL,NULL,NULL,1,1,2,0.01,NULL,3,20,BC,300,AD,
5048,Terra Sigillata,NULL,NULL,33,NULL,35,92,160,1.09,2,10,20,BC,1,BC,
5075,Terra Sigillata,NULL,NULL,2,NULL,NULL,3,5,0.028,2,5,20,AD,100,AD,
5091,Terra Sigillata,NULL,NULL,17,NULL,3,46,66,0.308,2,8,20,BC,37,AD,
5095,African Red Slip,NULL,NULL,NULL,NULL,NULL,1,1,0.008,5,5,20,BC,300,AD,
5301,Terra Sigillata,NULL,NULL,35,NULL,4,41,77,0.356,2,6,20,AD,45,AD,
5317,African Red Slip,NULL,NULL,2,NULL,NULL,NULL,2,0.032,4,8,20,BC,300,AD,
5164,Terra Sigillata,NULL,NULL,2,NULL,NULL,NULL,2,0.034,5,8,20,AD,100,AD,
5164,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.018,5,5,20,BC,500,AD,
5564,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.008,4,4,20,BC,800,AD,
5601,African Cookware,NULL,NULL,NULL,NULL,1,1,2,0.044,6,7,20,BC,800,AD,
5539,African Cookware,fansatically preserved lid fragment,NULL,5,NULL,NULL,2,7,0.406,3,11,20,BC,300,AD,
5602,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.026,6,6,20,BC,500,AD,
5606,African Cookware,NULL,NULL,1,NULL,NULL,NULL,1,0.01,4,4,20,BC,500,AD,
5598,African Red Slip,NULL,NULL,7,NULL,NULL,1,8,0.146,2,11,20,BC,500,AD,
5700,African Red Slip,NULL,NULL,NULL,NULL,NULL,2,2,0.018,2,4,20,BC,900,AD,
5561,African Cookware,NULL,NULL,NULL,NULL,NULL,1,1,0.001,4,4,20,BC,500,AD,
5719,African Cookware,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,BC,500,AD,
5795,African Cookware,NULL,NULL,1,NULL,NULL,3,4,0.138,7,8,20,BC,200,AD,
5794,African Red Slip,NULL,NULL,9,NULL,1,NULL,10,0.076,3,7,20,BC,300,AD,
5817,African Red Slip,NULL,NULL,1,NULL,NULL,1,2,0.008,4,4,20,BC,300,AD,
5641,African Red Slip,NULL,NULL,1,NULL,NULL,NULL,1,0.001,3,3,20,BC,300,AD,
7032,Amphora,"sherds of eastern amphorae, italian, and african. several show signs of fire damage",NULL,NULL,5,2,52,61,3.12,4,15,20,AD,200,AD,
5095,Amphora,NULL,NULL,3,9,5,94,111,14.511,3,11,23,BC,300,AD,
5095,Amphora,NULL,NULL,3,9,5,94,111,14.511,3,11,23,BC,190,AD,
375,Black Gloss,NULL,NULL,9,1,2,24,36,0.216,2,5,25,BC,25,AD,
1376,Eastern Sigillata,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,25,BC,350,AD,
1382,Terra Sigillata,NULL,NULL,34,NULL,10,96,140,NULL,NULL,NULL,25,BC,50,AD,
2308,Amphora,NULL,NULL,NULL,2,NULL,7,9,NULL,NULL,NULL,25,BC,150,AD,
2335,Commonware,NULL,NULL,10,1,NULL,33,44,NULL,NULL,NULL,25,BC,75,BC,
1382,Terra Sigillata,NULL,NULL,34,NULL,10,96,140,NULL,NULL,NULL,25,BC,50,AD,
5068,Amphora,NULL,NULL,7,9,NULL,87,103,7.056,3,10,25,BC,150,AD,
5012,Amphora,NULL,NULL,4,3,2,27,36,3.305,3,10,25,BC,125,AD,
5012,Thin Walled,NULL,NULL,3,2,2,3,10,0.04,2,5,25,BC,200,AD,
5048,Amphora,NULL,NULL,36,34,4,377,451,23.965,3,10,25,BC,150,AD,
5016,Amphora,NULL,NULL,7,12,2,223,244,14.537,2,10,25,BC,150,AD,
5025,Amphora,NULL,NULL,12,11,6,150,179,22.281,2,10,25,BC,125,AD,
5025,Amphora,NULL,NULL,12,11,6,150,179,22.281,2,10,25,BC,150,AD,
5076,Amphora,NULL,NULL,8,12,1,196,217,11.755,NULL,NULL,25,BC,100,AD,
5076,Amphora,NULL,NULL,8,12,1,196,217,11.755,NULL,NULL,25,BC,125,AD,
5124,Terra Sigillata,NULL,NULL,1,NULL,NULL,5,6,0.044,NULL,NULL,25,AD,75,AD,
5124,Amphora,NULL,NULL,4,8,2,89,103,10.145,NULL,NULL,25,BC,125,AD,
5079,Amphora,NULL,NULL,1,2,NULL,33,36,3.21,3,10,25,BC,150,AD,
5079,Amphora,NULL,NULL,1,2,NULL,33,36,3.21,3,10,25,AD,250,AD,
5540,Lamp,NULL,NULL,4,NULL,1,1,5,0.026,3,5,25,BC,500,AD,
5594,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,0.001,3,3,25,BC,500,AD,
5562,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,0.012,4,4,25,BC,500,AD,
5609,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,0.001,3,3,25,BC,500,AD,
5569,Lamp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,BC,500,AD,
5789,Lamp,NULL,NULL,NULL,NULL,NULL,1,1,0.001,2,2,25,BC,500,AD,
5314,Thin Walled,NULL,NULL,34,32,30,37,133,0.634,2,11,25,BC,1,BC,
5314,Thin Walled,NULL,NULL,34,32,30,37,133,0.634,2,11,25,BC,1,BC,
7194,Terra Sigillata,NULL,NULL,1,NULL,NULL,6,7,0.044,3,6,25,AD,125,AD,
5016,Thin Walled,NULL,NULL,27,7,21,95,150,0.678,1,9,26,BC,14,AD,
1368,Terra Sigillata,NULL,NULL,36,NULL,9,87,132,0.574,2,8,27,BC,1,AD,
1369,Terra Sigillata,NULL,NULL,2,NULL,NULL,1,3,0.012,2,4,27,BC,68,AD,
357,Thin Walled,NULL,NULL,1,NULL,1,10,12,NULL,NULL,NULL,27,BC,14,AD,
5065,Commonware,NULL,NULL,16,2,2,45,65,1.11,2,9,27,BC,14,AD,
5004,Thin Walled,NULL,NULL,12,1,2,48,63,0.198,2,6,27,BC,200,AD,
5027,Thin Walled,NULL,NULL,5,1,2,14,21,0.071,1,6,27,BC,200,AD,
